date,INR
29/10/2016,66.8448 INR
28/10/2016,66.8488 INR
27/10/2016,66.8826 INR
26/10/2016,66.836 INR
25/10/2016,66.822 INR
24/10/2016,66.8273 INR
23/10/2016,66.9404 INR
22/10/2016,66.8565 INR
21/10/2016,66.8193 INR
20/10/2016,66.7584 INR
19/10/2016,66.6568 INR
18/10/2016,66.7356 INR
17/10/2016,66.7639 INR
16/10/2016,66.7356 INR
15/10/2016,66.7002 INR
14/10/2016,66.7122 INR
13/10/2016,66.8405 INR
12/10/2016,66.7642 INR
11/10/2016,66.1942 INR
10/10/2016,66.5266 INR
9/10/2016,66.6295 INR
8/10/2016,66.6316 INR
7/10/2016,66.6215 INR
6/10/2016,66.7004 INR
5/10/2016,66.5236 INR
4/10/2016,66.5 INR
3/10/2016,66.4788 INR
2/10/2016,66.6224 INR
1/10/2016,66.6066 INR
30/09/2016,66.6006 INR
29/09/2016,66.7059 INR
28/09/2016,66.397 INR
27/09/2016,66.5342 INR
26/09/2016,66.6386 INR
25/09/2016,66.6753 INR
24/09/2016,66.6707 INR
23/09/2016,66.6862 INR
22/09/2016,66.7105 INR
21/09/2016,66.9338 INR
20/09/2016,66.9881 INR
19/09/2016,66.9836 INR
18/09/2016,67.0243 INR
17/09/2016,67.0354 INR
16/09/2016,67.0268 INR
15/09/2016,66.9323 INR
14/09/2016,66.8593 INR
13/09/2016,67.0436 INR
12/09/2016,66.8354 INR
11/09/2016,66.8787 INR
10/09/2016,66.8201 INR
9/09/2016,66.773 INR
8/09/2016,66.5042 INR
7/09/2016,66.4559 INR
6/09/2016,66.3816 INR
5/09/2016,66.5968 INR
4/09/2016,66.6758 INR
3/09/2016,66.693 INR
2/09/2016,66.7346 INR
1/09/2016,66.9115 INR
31/08/2016,66.9806 INR
30/08/2016,67.1118 INR
29/08/2016,67.1489 INR
28/08/2016,67.1334 INR
27/08/2016,67.1025 INR
26/08/2016,67.1108 INR
25/08/2016,67.0665 INR
24/08/2016,67.2155 INR
23/08/2016,67.1481 INR
22/08/2016,67.2067 INR
21/08/2016,67.1641 INR
20/08/2016,67.0895 INR
19/08/2016,67.0534 INR
18/08/2016,66.8628 INR
17/08/2016,66.8556 INR
16/08/2016,66.8504 INR
15/08/2016,66.8597 INR
14/08/2016,66.9149 INR
13/08/2016,66.8759 INR
12/08/2016,66.8711 INR
11/08/2016,66.7455 INR
10/08/2016,66.7537 INR
9/08/2016,66.8158 INR
8/08/2016,66.8039 INR
7/08/2016,66.8095 INR
6/08/2016,66.8022 INR
5/08/2016,66.8121 INR
4/08/2016,66.8412 INR
3/08/2016,66.7905 INR
2/08/2016,66.736 INR
1/08/2016,66.7246 INR
31/07/2016,66.8232 INR
30/07/2016,66.8085 INR
29/07/2016,66.8615 INR
28/07/2016,67.0513 INR
27/07/2016,67.1525 INR
26/07/2016,67.2525 INR
25/07/2016,67.5348 INR
24/07/2016,67.2421 INR
23/07/2016,67.3001 INR
22/07/2016,67.3057 INR
21/07/2016,67.1482 INR
20/07/2016,67.1728 INR
19/07/2016,67.1504 INR
18/07/2016,67.0962 INR
17/07/2016,67.1332 INR
16/07/2016,67.0954 INR
15/07/2016,67.0569 INR
14/07/2016,66.8539 INR
13/07/2016,67.1423 INR
12/07/2016,67.0411 INR
11/07/2016,67.1243 INR
10/07/2016,67.213 INR
9/07/2016,67.2105 INR
8/07/2016,67.2321 INR
7/07/2016,67.573 INR
6/07/2016,67.544 INR
5/07/2016,67.5438 INR
4/07/2016,67.2249 INR
3/07/2016,67.227 INR
2/07/2016,67.2579 INR
1/07/2016,67.2795 INR
30/06/2016,67.4276 INR
29/06/2016,67.617 INR
28/06/2016,67.8611 INR
27/06/2016,67.9362 INR
26/06/2016,67.9266 INR
25/06/2016,67.8661 INR
24/06/2016,67.7665 INR
23/06/2016,67.732 INR
22/06/2016,67.4418 INR
21/06/2016,67.5578 INR
20/06/2016,67.4639 INR
19/06/2016,67.0156 INR
18/06/2016,67.0869 INR
17/06/2016,67.1023 INR
16/06/2016,67.2958 INR
15/06/2016,67.1259 INR
14/06/2016,67.2511 INR
13/06/2016,67.2163 INR
12/06/2016,66.9039 INR
11/06/2016,66.864 INR
10/06/2016,66.8213 INR
9/06/2016,66.6998 INR
8/06/2016,66.5862 INR
7/06/2016,66.7351 INR
6/06/2016,66.807 INR
5/06/2016,66.9729 INR
4/06/2016,66.9287 INR
3/06/2016,66.972 INR
2/06/2016,67.3146 INR
1/06/2016,67.3843 INR
31/05/2016,67.1782 INR
30/05/2016,67.1439 INR
29/05/2016,67.0157 INR
28/05/2016,66.9574 INR
27/05/2016,66.9839 INR
26/05/2016,67.0917 INR
25/05/2016,67.3769 INR
24/05/2016,67.6293 INR
23/05/2016,67.4419 INR
22/05/2016,67.4276 INR
21/05/2016,67.4392 INR
20/05/2016,67.4201 INR
19/05/2016,66.9708 INR
18/05/2016,66.772 INR
17/05/2016,66.8071 INR
16/05/2016,66.8395 INR
15/05/2016,66.9706 INR
14/05/2016,66.9117 INR
13/05/2016,66.8747 INR
12/05/2016,66.7075 INR
11/05/2016,66.6333 INR
10/05/2016,66.6448 INR
9/05/2016,66.7041 INR
8/05/2016,66.5798 INR
7/05/2016,66.641 INR
6/05/2016,66.6402 INR
5/05/2016,66.5845 INR
4/05/2016,66.5816 INR
3/05/2016,66.5157 INR
2/05/2016,66.3952 INR
1/05/2016,66.4237 INR
30/04/2016,66.4298 INR
29/04/2016,66.4202 INR
28/04/2016,66.4792 INR
27/04/2016,66.4151 INR
26/04/2016,66.5115 INR
25/04/2016,66.6658 INR
24/04/2016,66.6104 INR
23/04/2016,66.6147 INR
22/04/2016,66.5629 INR
21/04/2016,66.4229 INR
20/04/2016,66.2039 INR
19/04/2016,66.3304 INR
18/04/2016,66.4972 INR
17/04/2016,66.6729 INR
16/04/2016,66.6438 INR
15/04/2016,66.6492 INR
14/04/2016,66.5695 INR
13/04/2016,66.5151 INR
12/04/2016,66.3409 INR
11/04/2016,66.3927 INR
10/04/2016,66.5566 INR
9/04/2016,66.5739 INR
8/04/2016,66.561 INR
7/04/2016,66.6476 INR
6/04/2016,66.4847 INR
5/04/2016,66.3867 INR
4/04/2016,66.1554 INR
3/04/2016,66.2514 INR
2/04/2016,66.2566 INR
1/04/2016,66.2365 INR
31/03/2016,66.2491 INR
30/03/2016,66.4371 INR
29/03/2016,66.4812 INR
28/03/2016,66.7956 INR
27/03/2016,66.8085 INR
26/03/2016,66.8083 INR
25/03/2016,66.8072 INR
24/03/2016,66.8887 INR
23/03/2016,66.7951 INR
22/03/2016,66.6774 INR
21/03/2016,66.54 INR
20/03/2016,66.4714 INR
19/03/2016,66.4287 INR
18/03/2016,66.4701 INR
17/03/2016,66.7211 INR
16/03/2016,67.0925 INR
15/03/2016,67.3014 INR
14/03/2016,67.0999 INR
13/03/2016,66.9508 INR
12/03/2016,66.754 INR
11/03/2016,66.7558 INR
10/03/2016,67.2504 INR
9/03/2016,67.2203 INR
8/03/2016,67.3067 INR
7/03/2016,67.0229 INR
6/03/2016,67.0386 INR
5/03/2016,67.0619 INR
4/03/2016,67.091 INR
3/03/2016,67.2571 INR
2/03/2016,67.5217 INR
1/03/2016,67.8668 INR
29/02/2016,68.3536 INR
28/02/2016,68.7612 INR
27/02/2016,69.0854 INR
26/02/2016,68.7736 INR
25/02/2016,68.698 INR
24/02/2016,68.4517 INR
23/02/2016,68.6709 INR
22/02/2016,68.5901 INR
21/02/2016,68.7613 INR
20/02/2016,68.662 INR
19/02/2016,68.6123 INR
18/02/2016,68.5213 INR
17/02/2016,68.3459 INR
16/02/2016,68.3994 INR
15/02/2016,68.0882 INR
14/02/2016,68.157 INR
13/02/2016,68.1951 INR
12/02/2016,68.1639 INR
11/02/2016,68.3031 INR
10/02/2016,67.9184 INR
9/02/2016,67.8982 INR
8/02/2016,67.9564 INR
7/02/2016,67.8134 INR
6/02/2016,67.8233 INR
5/02/2016,67.7925 INR
4/02/2016,67.6396 INR
3/02/2016,67.9168 INR
2/02/2016,67.956 INR
1/02/2016,67.8456 INR
31/01/2016,67.8286 INR
30/01/2016,67.8783 INR
29/01/2016,67.9159 INR
28/01/2016,68.0639 INR
27/01/2016,68.0939 INR
26/01/2016,67.7495 INR
25/01/2016,67.735 INR
24/01/2016,67.5876 INR
23/01/2016,67.5961 INR
22/01/2016,67.6557 INR
21/01/2016,67.8419 INR
20/01/2016,67.8651 INR
19/01/2016,67.7145 INR
18/01/2016,67.7302 INR
17/01/2016,67.7087 INR
16/01/2016,67.697 INR
15/01/2016,67.6119 INR
14/01/2016,67.1734 INR
13/01/2016,66.9114 INR
12/01/2016,66.8976 INR
11/01/2016,66.7787 INR
10/01/2016,66.8721 INR
9/01/2016,66.7806 INR
8/01/2016,66.7875 INR
7/01/2016,66.85 INR
6/01/2016,66.7082 INR
5/01/2016,66.529 INR
4/01/2016,66.5111 INR
3/01/2016,66.19 INR
2/01/2016,66.2482 INR
1/01/2016,66.2613 INR
31/12/2015,66.1783 INR
30/12/2015,66.3654 INR
29/12/2015,66.2429 INR
28/12/2015,66.0889 INR
27/12/2015,66.0217 INR
26/12/2015,65.8335 INR
25/12/2015,65.8309 INR
24/12/2015,66.0085 INR
23/12/2015,66.1132 INR
22/12/2015,66.2725 INR
21/12/2015,66.24 INR
20/12/2015,66.3025 INR
19/12/2015,66.3239 INR
18/12/2015,66.3445 INR
17/12/2015,66.3984 INR
16/12/2015,66.6729 INR
15/12/2015,66.9096 INR
14/12/2015,67.1282 INR
13/12/2015,67.0788 INR
12/12/2015,66.8102 INR
11/12/2015,66.996 INR
10/12/2015,66.77 INR
9/12/2015,66.868 INR
8/12/2015,66.8208 INR
7/12/2015,66.7457 INR
6/12/2015,66.6574 INR
5/12/2015,66.6885 INR
4/12/2015,66.6631 INR
3/12/2015,66.7192 INR
2/12/2015,66.5574 INR
1/12/2015,66.5153 INR
30/11/2015,66.6156 INR
29/11/2015,66.8426 INR
28/11/2015,66.7945 INR
27/11/2015,66.7488 INR
26/11/2015,66.5309 INR
25/11/2015,66.3573 INR
24/11/2015,66.307 INR
23/11/2015,66.3146 INR
22/11/2015,66.1154 INR
21/11/2015,66.1112 INR
20/11/2015,66.1131 INR
19/11/2015,66.1099 INR
18/11/2015,66.0749 INR
17/11/2015,66.049 INR
16/11/2015,65.9607 INR
15/11/2015,66.1918 INR
14/11/2015,66.0981 INR
13/11/2015,66.0921 INR
12/11/2015,66.1127 INR
11/11/2015,66.1736 INR
10/11/2015,66.2181 INR
9/11/2015,66.3542 INR
8/11/2015,66.0067 INR
7/11/2015,65.9206 INR
6/11/2015,65.8918 INR
5/11/2015,65.7834 INR
4/11/2015,65.3202 INR
3/11/2015,65.5621 INR
2/11/2015,65.5219 INR
1/11/2015,65.3384 INR
31/10/2015,65.3944 INR
30/10/2015,65.3801 INR
29/10/2015,65.3497 INR
28/10/2015,65.0662 INR
27/10/2015,65.0252 INR
26/10/2015,64.9341 INR
25/10/2015,64.9419 INR
24/10/2015,64.9406 INR
23/10/2015,64.9803 INR
22/10/2015,64.9954 INR
21/10/2015,65.106 INR
20/10/2015,64.9773 INR
19/10/2015,64.8847 INR
18/10/2015,64.7196 INR
17/10/2015,64.7452 INR
16/10/2015,64.7396 INR
15/10/2015,64.8152 INR
14/10/2015,64.8954 INR
13/10/2015,65.0566 INR
12/10/2015,64.7611 INR
11/10/2015,64.7459 INR
10/10/2015,64.7286 INR
9/10/2015,64.7777 INR
8/10/2015,64.9324 INR
7/10/2015,64.9856 INR
6/10/2015,65.2083 INR
5/10/2015,65.1956 INR
4/10/2015,65.3053 INR
3/10/2015,65.3141 INR
2/10/2015,65.3262 INR
1/10/2015,65.6211 INR
30/09/2015,65.7084 INR
29/09/2015,65.9705 INR
28/09/2015,66.2703 INR
27/09/2015,66.1991 INR
26/09/2015,66.1721 INR
25/09/2015,66.1862 INR
24/09/2015,66.1156 INR
23/09/2015,66.0639 INR
22/09/2015,65.881 INR
21/09/2015,65.7398 INR
20/09/2015,65.8931 INR
19/09/2015,65.8609 INR
18/09/2015,65.9165 INR
17/09/2015,66.2397 INR
16/09/2015,66.2689 INR
15/09/2015,66.3885 INR
14/09/2015,66.2955 INR
13/09/2015,66.3453 INR
12/09/2015,66.3577 INR
11/09/2015,66.389 INR
10/09/2015,66.3762 INR
9/09/2015,66.6142 INR
8/09/2015,66.4795 INR
7/09/2015,66.7927 INR
6/09/2015,66.6481 INR
5/09/2015,66.591 INR
4/09/2015,66.5375 INR
3/09/2015,66.1563 INR
2/09/2015,66.2565 INR
1/09/2015,66.4163 INR
31/08/2015,66.355 INR
30/08/2015,66.1553 INR
29/08/2015,66.1565 INR
28/08/2015,66.1453 INR
27/08/2015,66.0973 INR
26/08/2015,66.1231 INR
25/08/2015,66.3236 INR
24/08/2015,66.7426 INR
23/08/2015,66.1642 INR
22/08/2015,66.0526 INR
21/08/2015,65.9446 INR
20/08/2015,65.4369 INR
19/08/2015,65.195 INR
18/08/2015,65.4239 INR
17/08/2015,65.3673 INR
16/08/2015,65.0961 INR
15/08/2015,65.1221 INR
14/08/2015,65.1093 INR
13/08/2015,65.0703 INR
12/08/2015,64.7808 INR
11/08/2015,64.2076 INR
10/08/2015,63.7917 INR
9/08/2015,63.7386 INR
8/08/2015,63.7623 INR
7/08/2015,63.7569 INR
6/08/2015,63.7504 INR
5/08/2015,63.7487 INR
4/08/2015,63.8496 INR
3/08/2015,64.1099 INR
2/08/2015,64.0227 INR
1/08/2015,64.0423 INR
31/07/2015,64.0303 INR
30/07/2015,64.0825 INR
29/07/2015,63.8747 INR
28/07/2015,63.9018 INR
27/07/2015,64.1678 INR
26/07/2015,64.0822 INR
25/07/2015,64.0752 INR
24/07/2015,64.02 INR
23/07/2015,63.8022 INR
22/07/2015,63.501 INR
21/07/2015,63.4938 INR
20/07/2015,63.5504 INR
19/07/2015,63.4367 INR
18/07/2015,63.4533 INR
17/07/2015,63.4614 INR
16/07/2015,63.4763 INR
15/07/2015,63.457 INR
14/07/2015,63.3711 INR
13/07/2015,63.4281 INR
12/07/2015,63.3791 INR
11/07/2015,63.3636 INR
10/07/2015,63.3782 INR
9/07/2015,63.3893 INR
8/07/2015,63.4628 INR
7/07/2015,63.4536 INR
6/07/2015,63.3103 INR
5/07/2015,63.3885 INR
4/07/2015,63.3987 INR
3/07/2015,63.4201 INR
2/07/2015,63.3774 INR
1/07/2015,63.6137 INR
30/06/2015,63.7328 INR
29/06/2015,63.7243 INR
28/06/2015,63.5652 INR
27/06/2015,63.5241 INR
26/06/2015,63.5184 INR
25/06/2015,63.5244 INR
24/06/2015,63.5566 INR
23/06/2015,63.5339 INR
22/06/2015,63.5035 INR
21/06/2015,63.4937 INR
20/06/2015,63.5032 INR
19/06/2015,63.5411 INR
18/06/2015,63.74 INR
17/06/2015,64.0469 INR
16/06/2015,64.1698 INR
15/06/2015,64.0687 INR
14/06/2015,64.098 INR
13/06/2015,64.0781 INR
12/06/2015,64.0548 INR
11/06/2015,63.9986 INR
10/06/2015,63.8892 INR
9/06/2015,64.0395 INR
8/06/2015,64.0203 INR
7/06/2015,63.9743 INR
6/06/2015,63.9872 INR
5/06/2015,64.0052 INR
4/06/2015,63.9784 INR
3/06/2015,63.971 INR
2/06/2015,63.71 INR
1/06/2015,63.6595 INR
31/05/2015,63.7674 INR
30/05/2015,63.7871 INR
29/05/2015,63.7964 INR
28/05/2015,63.8141 INR
27/05/2015,63.9111 INR
26/05/2015,63.8786 INR
25/05/2015,63.5123 INR
24/05/2015,63.5216 INR
23/05/2015,63.5101 INR
22/05/2015,63.526 INR
21/05/2015,63.6394 INR
20/05/2015,63.6847 INR
19/05/2015,63.7532 INR
18/05/2015,63.6603 INR
17/05/2015,63.4599 INR
16/05/2015,63.4524 INR
15/05/2015,63.5127 INR
14/05/2015,63.5947 INR
13/05/2015,64.0724 INR
12/05/2015,64.1259 INR
11/05/2015,63.9524 INR
10/05/2015,63.7871 INR
9/05/2015,63.7946 INR
8/05/2015,63.807 INR
7/05/2015,64.1308 INR
6/05/2015,63.6307 INR
5/05/2015,63.4772 INR
4/05/2015,63.6042 INR
3/05/2015,63.6592 INR
2/05/2015,63.6578 INR
1/05/2015,63.6377 INR
30/04/2015,63.4841 INR
29/04/2015,63.3938 INR
28/04/2015,63.1825 INR
27/04/2015,63.3904 INR
26/04/2015,63.6955 INR
25/04/2015,63.6954 INR
24/04/2015,63.6002 INR
23/04/2015,63.2296 INR
22/04/2015,62.9439 INR
21/04/2015,62.8363 INR
20/04/2015,62.9749 INR
19/04/2015,62.5253 INR
18/04/2015,62.4355 INR
17/04/2015,62.4487 INR
16/04/2015,62.341 INR
15/04/2015,62.3954 INR
14/04/2015,62.3656 INR
13/04/2015,62.3887 INR
12/04/2015,62.2485 INR
11/04/2015,62.2851 INR
10/04/2015,62.266 INR
9/04/2015,62.2997 INR
8/04/2015,62.2129 INR
7/04/2015,62.2355 INR
6/04/2015,62.1334 INR
5/04/2015,62.0366 INR
4/04/2015,62.0737 INR
3/04/2015,62.0926 INR
2/04/2015,62.1974 INR
1/04/2015,62.3152 INR
31/03/2015,62.4018 INR
30/03/2015,62.5748 INR
29/03/2015,62.5168 INR
28/03/2015,62.5688 INR
27/03/2015,62.5762 INR
26/03/2015,62.7087 INR
25/03/2015,62.4283 INR
24/03/2015,62.3284 INR
23/03/2015,62.2887 INR
22/03/2015,62.4036 INR
21/03/2015,62.4243 INR
20/03/2015,62.429 INR
19/03/2015,62.5375 INR
18/03/2015,62.545 INR
17/03/2015,62.6922 INR
16/03/2015,62.841 INR
15/03/2015,63.0352 INR
14/03/2015,62.9801 INR
13/03/2015,62.9389 INR
12/03/2015,62.5886 INR
11/03/2015,62.7362 INR
10/03/2015,62.7201 INR
9/03/2015,62.6266 INR
8/03/2015,62.5881 INR
7/03/2015,62.5874 INR
6/03/2015,62.5633 INR
5/03/2015,62.3155 INR
4/03/2015,62.2199 INR
3/03/2015,61.8343 INR
2/03/2015,61.8553 INR
1/03/2015,61.7429 INR
28/02/2015,61.6983 INR
27/02/2015,61.714 INR
26/02/2015,61.7874 INR
25/02/2015,61.9613 INR
24/02/2015,62.1533 INR
23/02/2015,62.2199 INR
22/02/2015,62.1497 INR
21/02/2015,62.2073 INR
20/02/2015,62.19 INR
19/02/2015,62.2204 INR
18/02/2015,62.1783 INR
17/02/2015,62.1368 INR
16/02/2015,62.1999 INR
15/02/2015,62.1033 INR
14/02/2015,62.1261 INR
13/02/2015,62.164 INR
12/02/2015,62.2331 INR
11/02/2015,62.322 INR
10/02/2015,62.2816 INR
9/02/2015,62.1637 INR
8/02/2015,61.9843 INR
7/02/2015,61.921 INR
6/02/2015,61.918 INR
5/02/2015,61.7573 INR
4/02/2015,61.8167 INR
3/02/2015,61.747 INR
2/02/2015,61.8547 INR
1/02/2015,61.9894 INR
31/01/2015,61.9963 INR
30/01/2015,61.9352 INR
29/01/2015,61.7006 INR
28/01/2015,61.35 INR
27/01/2015,61.3839 INR
26/01/2015,61.4386 INR
25/01/2015,61.5283 INR
24/01/2015,61.413 INR
23/01/2015,61.4384 INR
22/01/2015,61.6447 INR
21/01/2015,61.6328 INR
20/01/2015,61.7082 INR
19/01/2015,61.6961 INR
18/01/2015,61.723 INR
17/01/2015,61.7859 INR
16/01/2015,61.7871 INR
15/01/2015,62.086 INR
14/01/2015,62.1313 INR
13/01/2015,62.0475 INR
12/01/2015,62.1032 INR
11/01/2015,62.2314 INR
10/01/2015,62.2606 INR
9/01/2015,62.368 INR
8/01/2015,62.8123 INR
7/01/2015,63.2922 INR
6/01/2015,63.5494 INR
5/01/2015,63.379 INR
4/01/2015,63.3064 INR
3/01/2015,63.2896 INR
2/01/2015,63.2778 INR
1/01/2015,63.1719 INR
31/12/2014,63.1735 INR
30/12/2014,63.4583 INR
29/12/2014,63.7215 INR
28/12/2014,63.6881 INR
27/12/2014,63.6816 INR
26/12/2014,63.6555 INR
25/12/2014,63.5407 INR
24/12/2014,63.4719 INR
23/12/2014,63.3923 INR
22/12/2014,63.2796 INR
21/12/2014,63.3476 INR
20/12/2014,63.3242 INR
19/12/2014,63.3279 INR
18/12/2014,63.1885 INR
17/12/2014,63.5818 INR
16/12/2014,63.5454 INR
15/12/2014,63.1156 INR
14/12/2014,62.58 INR
13/12/2014,62.541 INR
12/12/2014,62.514 INR
11/12/2014,62.4203 INR
10/12/2014,61.963 INR
9/12/2014,61.9119 INR
8/12/2014,61.8766 INR
7/12/2014,61.9853 INR
6/12/2014,61.9357 INR
5/12/2014,61.9383 INR
4/12/2014,61.834 INR
3/12/2014,61.8167 INR
2/12/2014,61.8696 INR
1/12/2014,62.0123 INR
30/11/2014,62.2411 INR
29/11/2014,62.1531 INR
28/11/2014,62.1145 INR
27/11/2014,61.8438 INR
26/11/2014,61.819 INR
25/11/2014,61.8078 INR
24/11/2014,61.8449 INR
23/11/2014,61.7497 INR
22/11/2014,61.7259 INR
21/11/2014,61.7764 INR
20/11/2014,61.89 INR
19/11/2014,61.9452 INR
18/11/2014,61.7289 INR
17/11/2014,61.7665 INR
16/11/2014,61.7045 INR
15/11/2014,61.6566 INR
14/11/2014,61.629 INR
13/11/2014,61.5626 INR
12/11/2014,61.4582 INR
11/11/2014,61.4872 INR
10/11/2014,61.4838 INR
9/11/2014,61.4844 INR
8/11/2014,61.4102 INR
7/11/2014,61.4218 INR
6/11/2014,61.4201 INR
5/11/2014,61.3732 INR
4/11/2014,61.3785 INR
3/11/2014,61.3869 INR
2/11/2014,61.4396 INR
1/11/2014,61.3922 INR
31/10/2014,61.4063 INR
30/10/2014,61.3608 INR
29/10/2014,61.3251 INR
28/10/2014,61.1907 INR
27/10/2014,61.2297 INR
26/10/2014,61.1554 INR
25/10/2014,61.1587 INR
24/10/2014,61.1399 INR
23/10/2014,61.1826 INR
22/10/2014,61.196 INR
21/10/2014,61.1965 INR
20/10/2014,61.2694 INR
19/10/2014,61.3738 INR
18/10/2014,61.3988 INR
17/10/2014,61.4237 INR
16/10/2014,61.7125 INR
15/10/2014,61.3528 INR
14/10/2014,61.3604 INR
13/10/2014,61.0722 INR
12/10/2014,61.2597 INR
11/10/2014,61.2446 INR
10/10/2014,61.2155 INR
9/10/2014,61.1169 INR
8/10/2014,61.3793 INR
7/10/2014,61.3839 INR
6/10/2014,61.57 INR
5/10/2014,61.6572 INR
4/10/2014,61.6206 INR
3/10/2014,61.6467 INR
2/10/2014,61.6242 INR
1/10/2014,61.7023 INR
30/09/2014,61.8204 INR
29/09/2014,61.4953 INR
28/09/2014,61.3064 INR
27/09/2014,61.2955 INR
26/09/2014,61.2464 INR
25/09/2014,61.2331 INR
24/09/2014,60.966 INR
23/09/2014,60.9804 INR
22/09/2014,60.8644 INR
21/09/2014,60.8144 INR
20/09/2014,60.857 INR
19/09/2014,60.8892 INR
18/09/2014,60.8011 INR
17/09/2014,60.9828 INR
16/09/2014,61.0999 INR
15/09/2014,61.1018 INR
14/09/2014,60.8161 INR
13/09/2014,60.8491 INR
12/09/2014,60.8473 INR
11/09/2014,60.9307 INR
10/09/2014,60.8601 INR
9/09/2014,60.5871 INR
8/09/2014,60.3184 INR
7/09/2014,60.2679 INR
6/09/2014,60.2802 INR
5/09/2014,60.2863 INR
4/09/2014,60.4226 INR
3/09/2014,60.4954 INR
2/09/2014,60.65 INR
1/09/2014,60.535 INR
31/08/2014,60.5379 INR
30/08/2014,60.5613 INR
29/08/2014,60.5452 INR
28/08/2014,60.5574 INR
27/08/2014,60.4622 INR
26/08/2014,60.4455 INR
25/08/2014,60.5412 INR
24/08/2014,60.5174 INR
23/08/2014,60.474 INR
22/08/2014,60.5151 INR
21/08/2014,60.6892 INR
20/08/2014,60.635 INR
19/08/2014,60.7148 INR
18/08/2014,60.8242 INR
17/08/2014,60.879 INR
16/08/2014,60.9004 INR
15/08/2014,60.9088 INR
14/08/2014,60.8417 INR
13/08/2014,61.1674 INR
12/08/2014,61.0939 INR
11/08/2014,61.1572 INR
10/08/2014,61.1326 INR
9/08/2014,61.1798 INR
8/08/2014,61.1782 INR
7/08/2014,61.2706 INR
6/08/2014,61.3848 INR
5/08/2014,60.8866 INR
4/08/2014,60.9316 INR
3/08/2014,61.0764 INR
2/08/2014,60.9765 INR
1/08/2014,60.829 INR
31/07/2014,60.471 INR
30/07/2014,60.1292 INR
29/07/2014,60.0873 INR
28/07/2014,60.057 INR
27/07/2014,60.0214 INR
26/07/2014,60.0465 INR
25/07/2014,60.0396 INR
24/07/2014,60.0882 INR
23/07/2014,60.0668 INR
22/07/2014,60.1489 INR
21/07/2014,60.2449 INR
20/07/2014,59.7723 INR
19/07/2014,59.7994 INR
18/07/2014,60.2609 INR
17/07/2014,60.1456 INR
16/07/2014,60.0947 INR
15/07/2014,60.1092 INR
14/07/2014,60.0833 INR
13/07/2014,60.0499 INR
12/07/2014,60.0704 INR
11/07/2014,60.022 INR
10/07/2014,60.1084 INR
9/07/2014,59.7711 INR
8/07/2014,59.7788 INR
7/07/2014,59.9069 INR
6/07/2014,59.7596 INR
5/07/2014,59.7361 INR
4/07/2014,59.7294 INR
3/07/2014,59.7466 INR
2/07/2014,59.7758 INR
1/07/2014,60.0461 INR
30/06/2014,60.0923 INR
29/06/2014,60.0431 INR
28/06/2014,60.0335 INR
27/06/2014,60.0462 INR
26/06/2014,60.1846 INR
25/06/2014,60.0892 INR
24/06/2014,60.1712 INR
23/06/2014,60.1601 INR
22/06/2014,60.181 INR
